lon,lat,track_seg_point_id,ele,time
76.44494767,9.839604,229,23,2024/04/26 10:56:48+00
76.44485267,9.8397895,230,21.3,2024/04/26 10:56:49+00
76.44477633,9.839972667,231,20.2,2024/04/26 10:56:50+00
76.44471633,9.840161667,232,19,2024/04/26 10:56:51+00
76.44464833,9.840347667,233,19.3,2024/04/26 10:56:52+00
76.44458533,9.840543167,234,19.7,2024/04/26 10:56:53+00
76.44451683,9.840734,235,19.9,2024/04/26 10:56:54+00
76.44444467,9.840927167,236,20,2024/04/26 10:56:55+00
76.44436767,9.841123833,237,20.3,2024/04/26 10:56:56+00
76.4442875,9.841318167,238,19.7,2024/04/26 10:56:57+00
76.44420183,9.841508667,239,18.3,2024/04/26 10:56:58+00
76.44412167,9.841702667,240,18.2,2024/04/26 10:56:59+00
76.44403983,9.8418995,241,18.2,2024/04/26 10:57:00+00
76.44395933,9.842102667,242,17.9,2024/04/26 10:57:01+00
76.44387667,9.842304,243,18.8,2024/04/26 10:57:02+00
76.443782,9.842499667,244,19.2,2024/04/26 10:57:03+00
76.44366117,9.842703333,245,21.8,2024/04/26 10:57:04+00
76.4435395,9.842894833,246,22.7,2024/04/26 10:57:05+00
76.44340583,9.843080333,247,23.6,2024/04/26 10:57:06+00
76.443274,9.843258833,248,23.9,2024/04/26 10:57:07+00
76.44314017,9.843433667,249,25.5,2024/04/26 10:57:08+00
76.44299833,9.843596,250,24.9,2024/04/26 10:57:09+00
76.4428475,9.8437555,251,25,2024/04/26 10:57:10+00
76.44268833,9.843905,252,24.5,2024/04/26 10:57:11+00
76.44252533,9.844055,253,24.9,2024/04/26 10:57:12+00
76.44235317,9.844198167,254,25.2,2024/04/26 10:57:13+00
76.44217367,9.844328333,255,25.2,2024/04/26 10:57:14+00
76.44198833,9.844454333,256,25.2,2024/04/26 10:57:15+00
76.44179767,9.844578167,257,25.8,2024/04/26 10:57:16+00
76.44160867,9.844690833,258,26.4,2024/04/26 10:57:17+00
76.44141533,9.844797833,259,26.9,2024/04/26 10:57:18+00
76.44121767,9.844899333,260,26.6,2024/04/26 10:57:19+00
